title,text
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""","Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran."" Denver"
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades. a an online opinion-piece
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs. an online video
"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.","For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin. a speech"
The economy bled $24 billion due to the government shutdown.,The economy bled $24 billion due to the government shutdown. a Doonesbury strip in the Sunday comics
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.',McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' a radio ad
"Almost 100,000 people left Puerto Rico last year.","Almost 100,000 people left Puerto Rico last year. an interview with Bloomberg News"
The United States has the highest corporate tax rate in the free world.,"The United States has the highest corporate tax rate in the free world. a discussion on Fox News' ""The Five"""
We just had the best year for the auto industry in America in history.,We just had the best year for the auto industry in America in history. remarks at a Kentucky rally
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino. a speech after a terrorist attack in Orlando
Youth unemployment in minority communities is about 40 to 45 percent.,Youth unemployment in minority communities is about 40 to 45 percent. a gubernatorial debate
Says Paul Ryan is still endorsing Trump.,Says Paul Ryan is still endorsing Trump. a tweet
We cut business taxes so today 70 percent of our businesses dont pay a business tax.,We cut business taxes so today 70 percent of our businesses dont pay a business tax. a speech at an Americans for Prosperity Foundation conference
Says Mark Pryor votes with Obama 93 percent of the time.,Says Mark Pryor votes with Obama 93 percent of the time. a debate
We have a federal government that thinks they have the authority to regulate our toilet seats.,We have a federal government that thinks they have the authority to regulate our toilet seats. a speech at CPAC
Austin is a city that has basically doubled in size every 25 years or so since it was founded.,"Austin is a city that has basically doubled in size every 25 years or so since it was founded. his ""State of the City"" address"
"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.","The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests. a released statement"
"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.","Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt. a town hall meeting in Hudson, N.H."
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners. Townhall.com
"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history","We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history a conversation with reporters in Victor, NY."
"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.","In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out. an adviser's interview on the ""Colbert Report."""
"Said he's the only Republican candidate ""who's actually turned around a government economy.""","Said he's the only Republican candidate ""who's actually turned around a government economy."" a debate in Boca Raton, Fla."
"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""","On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong."" an interview on Fox News"
"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.","There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools. a Web video"
"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.","At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised. remarks at the Republican National Convention in Tampa"
"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.","If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor. a speech."
"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""","The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person."" an interview on MSNBC's Hardball"
The only time in our history when the debt has been higher than this was the end of World War II.,The only time in our history when the debt has been higher than this was the end of World War II. a speech during a “Fix the Debt” press event
The cost of health care is now the single-biggest factor driving down the federal budget deficit.,The cost of health care is now the single-biggest factor driving down the federal budget deficit. a speech at Northwestern University
"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.","During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent. a roundtable discussion on ABC's ""This Week"""
Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control. a news release
Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,Says U.S. Rep. Steve Southerland voted to keep the shutdown going. a campaign commercial
There is a federal criminal law that says its a crime to transport dentures across state lines.,There is a federal criminal law that says its a crime to transport dentures across state lines. a radio interview.
We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders. a post on Instagram
I belong to the AFL-CIO.,I belong to the AFL-CIO. Texas Public Policy Foundation policy orientation
The insurance commissioner cant do squat about health care.,The insurance commissioner cant do squat about health care. a radio interview broadcast over the Internet
Did you know US population growth is at its lowest since the Great Depression?,Did you know US population growth is at its lowest since the Great Depression? a tweet.
"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.","The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones. a Board of Governors meeting"
"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.","Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history. the PBS NewsHour"
A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender. a web post
"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.","Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty. a debate"
"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.","Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism. an interview on CNN's ""State of the Union"""
Sen. Obama has always had a 100 percent prochoice rating.,Sen. Obama has always had a 100 percent prochoice rating. an e-mail message sent to voters before Super Tuesday.
The (federal) debt is growing by more than $4 billion a day.,"The (federal) debt is growing by more than $4 billion a day. in ""Fed Up! Our Fight to Save America from Washington"""
Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions. a speech
The economy is creating jobs at the fastest pace since 1999.,The economy is creating jobs at the fastest pace since 1999. the State of the Union address
President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York. a press release from the Mitt Romney campaign
"In a majority of states, you can now marry freely, but can still be fired for who you love.","In a majority of states, you can now marry freely, but can still be fired for who you love. a statement"
"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.","After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s. remarks in Cincinnati, Ohio"
"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.","Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years. a speech"
Says 88 Texas constables have died in the line of duty.,Says 88 Texas constables have died in the line of duty. a press statement.
"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.","Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000. a TV ad"
"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.","The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions. a newspaper column"
"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.","As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man. a fundraising e-mail to supporters"
You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now. a conference in Silicon Valley
Some neighborhood schools are closing.,Some neighborhood schools are closing. a press release
He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy. an automated call to voters
"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.","The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered. an ABC News U.S. Senate debate."
Says the U.S. Supreme Court found that Social Security is not guaranteed.,Says the U.S. Supreme Court found that Social Security is not guaranteed. a Congressional campaign debate
Oregonians have an amazing no-cost way to fight abortion with free political donations,Oregonians have an amazing no-cost way to fight abortion with free political donations a newspaper ad
Newt Gingrichs immigration plan offers a new doorway to amnesty.,Newt Gingrichs immigration plan offers a new doorway to amnesty. a press conference
"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!","In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue! a Facebook post"
President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,"President Obama took more money from Wall Street in the 2008 campaign than anybody ever had. a Democratic debate in Flint, Mich."
"Hillary Clinton has taken over $800,000 from lobbyists.","Hillary Clinton has taken over $800,000 from lobbyists. an online ad."
