title,text
Says the Annies List political group supports third-trimester abortions on demand.,Says the Annies List political group supports third-trimester abortions on demand. a mailer
Health care reform legislation is likely to mandate free sex change surgeries.,Health care reform legislation is likely to mandate free sex change surgeries. a news release
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it. an interview with CBN News"
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor. a campaign debate
I dont know who (Jonathan Gruber) is.,I dont know who (Jonathan Gruber) is. a news conference
"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.","ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn. a tweet"
What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants. a campaign ad
"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.","In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct. the TV show's season finale"
Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law. a speech at the CPAC conference
"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company","Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company a news release"
Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,"Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe. On “The Rachel Maddow Show,” broadcast on MSNBC"
We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.',We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' a speech at the Texas Republican Party Convention
"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.","Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally. a long-running chain email"
President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one. an interview with ABC news
It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life. an interview on CNN.
Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom. a speech.
Sen. Obama's campaign announced that he's choosing his cabinet.,"Sen. Obama's campaign announced that he's choosing his cabinet. a rally in Bensalem, Pa."
Only 2 percent of public high schools in the country offer PE classes.,Only 2 percent of public high schools in the country offer PE classes. an interview with NPR
"Under Mayor Cicilline, [Providence] was a sanctuary city.","Under Mayor Cicilline, [Providence] was a sanctuary city. a statement on WPRO-AM"
Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered. a committee hearing
"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.","Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts. an interview on ""Meet the Press"""
On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings. a law review article
Says Charlie Crist supports cuts to the Medicare Advantage program.,Says Charlie Crist supports cuts to the Medicare Advantage program. a Facebook post
"In the past 20 years, Egypt has made great strides in political and democratic reform.","In the past 20 years, Egypt has made great strides in political and democratic reform. an interview on ABC's ""This Week with Christiane Amanpour."""
The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,"The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance. comments on ""Fox News Sunday"""
Austin is burdened by the fastest-growing tax increases of any major city in the nation.,Austin is burdened by the fastest-growing tax increases of any major city in the nation. as quoted in a news story
"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.","Phoenix, Arizona, is the No. 2 kidnapping capital of the world. comments on 'Meet the Press'"
The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house. a congressional briefing
"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.","The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years. a press release"
"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.","NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO. a presidential debate at Hofstra University"
"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.","Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old. a speech."
Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress. web pages
"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""","Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency."" Philadelphia"
"About half of the presidents have been governors; half of them, senators.","About half of the presidents have been governors; half of them, senators. remarks in New Hampshire"
The Air Force wants taxpayers to fund a fantasy football league.,The Air Force wants taxpayers to fund a fantasy football league. blog posts
Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes. a newspaper ad
SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado. a candidate forum
"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.","The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country. a segment of Fox News' ""Hannity"""
Mr. Caprio is a career politician who has never worked in the private sector.,Mr. Caprio is a career politician who has never worked in the private sector. a campaign news release
Barack Obama has never even worked in business.,Barack Obama has never even worked in business. a speech at the Republican National Convention in Tampa
Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border. a radio interview.
"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.","In 2005, Dan Branch tried to expand third-trimester abortions in Texas. an email blast"
Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there. on the Oregon Senate floor
Im the only one whos fought against developers draining the Everglades!,Im the only one whos fought against developers draining the Everglades! a television ad
We have more illegal immigrants here than we did five years ago.,"We have more illegal immigrants here than we did five years ago. an interview on NBC's ""Meet the Press"""
The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name. blog posts
"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.","The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage. an interview on CNN"
Says Thomas Eric Duncan came into the United States with an elevated temperature.,"Says Thomas Eric Duncan came into the United States with an elevated temperature. comments on CNN's ""State of the Union"""
There are more oil rigs in operation in the United States than the rest of the world combined.,There are more oil rigs in operation in the United States than the rest of the world combined. a debate
The Obama administration shut down the Amber Alert program because of the government shutdown.,The Obama administration shut down the Amber Alert program because of the government shutdown. messages on Twitter
"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.","Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output. a chain e-mail"
"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.","Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500. a Fox News interview"
Not one Republican has the guts to recognize that climate change is real.,Not one Republican has the guts to recognize that climate change is real. a Democratic debate in New Hampshire
David Dewhurst has a record of promoting an income tax.,David Dewhurst has a record of promoting an income tax. a handout.
"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.","In the last five years, 28,000 people have been killed along the U.S.-Mexico border. a news release"
Says Obama health reform law denies millions access to affordable insurance.,Says Obama health reform law denies millions access to affordable insurance. a blog post
Close to 30% of our federal prison population consists of illegal immigrants.,Close to 30% of our federal prison population consists of illegal immigrants. a statement on campaign web site
Says Rick Scott called education not a core function of the state.,Says Rick Scott called education not a core function of the state. a press release
"The Family Research Council, according to some government agencies, is a terrorist group.","The Family Research Council, according to some government agencies, is a terrorist group. an interview on CNN"
Obamacare is the biggest tax increase in American history.,Obamacare is the biggest tax increase in American history. an interview
Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved. a campaign commercial
Says Marco Rubio is the one for an open border.,Says Marco Rubio is the one for an open border. in the CNN debate in Las Vegas
Providences port is 200 miles closer to Europe than any other Eastern port.,Providences port is 200 miles closer to Europe than any other Eastern port. a news conference
We now have driven (health care) costs down to the lowest theyve been in 50 years.,We now have driven (health care) costs down to the lowest theyve been in 50 years. comments during the South Carolina Democratic presidential debate
Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional. an interview on Fox
A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!! a post on Facebook
Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants. a campaign website
Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info. a Providence Journal commentary
Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.,Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro. multiple posts
"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.","Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises. a debate."
The top 1 percent pay over half of the entire revenue for this country.,The top 1 percent pay over half of the entire revenue for this country. an interview on MSNBC's 'The Dylan Ratigan Show'
Says he never said he would keep education funding the same.,Says he never said he would keep education funding the same. talking about his budget proposal.
(Palin) supported right-wing extremist Pat Buchanan for president in 2000.,(Palin) supported right-wing extremist Pat Buchanan for president in 2000. an e-mail.
"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.","While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies. a legislative floor speech"
"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.","If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs. a speech on the floor of the U.S. Senate"
What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!,What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress! a message via the Internet
Texas this fiscal year will have more money in reserve than the other 49 states combined.,Texas this fiscal year will have more money in reserve than the other 49 states combined. an interview on KLBJ AM in Austin
On using the Strategic Petroleum Reserve.,On using the Strategic Petroleum Reserve.
The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.,The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006. a column
Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.,Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound. an interview
We spend less on defense today as % of GDP than at any time since Pearl Harbor.,We spend less on defense today as % of GDP than at any time since Pearl Harbor. a Twitter post
Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.,Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil. a petition against President Obama’s plan to close Guantanamo Bay
The people of Rhode Island dont want same-sex marriage.,The people of Rhode Island dont want same-sex marriage. a television interview
74 percent of Republicans support the Affordable Care Act.,"74 percent of Republicans support the Affordable Care Act. a roundtable discussion on CNN's ""State of the Union"""
Says Alex Sink failed Florida homeowners by using predatory lending practices.,Says Alex Sink failed Florida homeowners by using predatory lending practices. a YouTube video
Says that Starbucks took Christmas off of their brand new cups.,Says that Starbucks took Christmas off of their brand new cups. a video
"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.","Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding. responding to an audience member's question at the Texas Tribune Festival."
"Most young Americans right now, theyre not covered by health insurance.","Most young Americans right now, theyre not covered by health insurance. a Funnyordie.com ""Between Two Ferns"" interview with Zach Galifianakis"
Says two-thirds of groups targeted for IRS scrutiny were not conservative.,Says two-thirds of groups targeted for IRS scrutiny were not conservative. a tweet
"In the class of 1968 at Patrice Lumumba University in Moscow, Mahmoud Abbas was one of the members of that class, and so was Ali Khamenei. And thats where they first established relationships with the young Vladimir Putin.","In the class of 1968 at Patrice Lumumba University in Moscow, Mahmoud Abbas was one of the members of that class, and so was Ali Khamenei. And thats where they first established relationships with the young Vladimir Putin. an interview with CNN's Wolf Blitzer"
Cell phone numbers go public this month.,Cell phone numbers go public this month. Facebook and Twitter posts
Clackamas County Commissioners approved a re-negotiated agreement to lower the countys contribution to TriMets Portland-Milwaukie Light Rail project to $19.9 million from $25 million.,Clackamas County Commissioners approved a re-negotiated agreement to lower the countys contribution to TriMets Portland-Milwaukie Light Rail project to $19.9 million from $25 million. a press release
The Obama administration is unwinding our nations welfare-to-work requirements.,The Obama administration is unwinding our nations welfare-to-work requirements. an op-ed.
"Shes voted for 60 tax increases, hurting the middle class and small businesses.","Shes voted for 60 tax increases, hurting the middle class and small businesses."
"Sheila Jackson Lee of Texas said: Hey, all you wrinkly, white-aged has-beens: Its time for you to die and let the next generation have your spot on the planet.","Sheila Jackson Lee of Texas said: Hey, all you wrinkly, white-aged has-beens: Its time for you to die and let the next generation have your spot on the planet. a meme supposedly quoting Sheila Jackson Lee"
"If black America were a country, itd be the 15th wealthiest nation in the world.","If black America were a country, itd be the 15th wealthiest nation in the world. comments on CNN"
Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.,Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act. an interview on NJToday
Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.,Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue. speaking to reporters
"A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option.""","A data-storing microchip ""would be implanted in the majority of people who opt to become covered by the public health care option."" a widely circulated e-mail"
Jorge Elorza wants to impose a municipal income tax.,Jorge Elorza wants to impose a municipal income tax. a radio interview
Roughly 25% of RI has a criminal record,Roughly 25% of RI has a criminal record an online petition
Massachusetts public schools teach kids as young as kindergartners about gay marriage.,Massachusetts public schools teach kids as young as kindergartners about gay marriage. a mailing to Rhode Island voters
I'm probably one of the four or five best-known Americans in the world.,I'm probably one of the four or five best-known Americans in the world. a comment to reporters in London.
SaysRand Paulhas put out budgets to cut the military in half.,"SaysRand Paulhas put out budgets to cut the military in half. comments on ABC's ""This Week"""
"The fundraising numbers are in, and our grassroots support is unmatched!","The fundraising numbers are in, and our grassroots support is unmatched! in a Facebook posting"
Gov. Scott Walker hired convicted Assembly Speaker Scott Jensen to oversee a raid on the state employee retirement system to help balance the state budget.,Gov. Scott Walker hired convicted Assembly Speaker Scott Jensen to oversee a raid on the state employee retirement system to help balance the state budget. a chain email and -- briefly -- a union web site
Its gotten to a point where the average federal worker makes twice as much as the average private sector worker.,Its gotten to a point where the average federal worker makes twice as much as the average private sector worker. a news conference
These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans.,These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans. a debate in New Hampshire
"ISIS camp a few miles from Texas, Mexican authorities confirm.","ISIS camp a few miles from Texas, Mexican authorities confirm. a web item"
New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.,New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed. a press release
Say New Jersey Reps. Donald Payne and Frank Pallone are socialists who are openly serving in the U.S. Congress.,Say New Jersey Reps. Donald Payne and Frank Pallone are socialists who are openly serving in the U.S. Congress. web pages
The unemployment rate may be as high as 42 percent.,The unemployment rate may be as high as 42 percent. a press conference
Social Security is indeed a Ponzi scheme.,Social Security is indeed a Ponzi scheme. an interview.
